2^Росгосстрах Банк^0,102564102564103^1^0^1^0
3^Россельхозбанк^1^0,785180572851806^1^0^0
245^Кранбанк^0^0,0099626400996264^0^0^1
246^Нэклис-Банк^0,0128205128205128^0,00933997509339975^0^0^1
247^РАДИОТЕХБАНК^0^0,0099626400996264^0^0^1
248^РУБЛЕВ^0,0512820512820513^0,0074719800747198^0^0^1
249^Северный кредит^0,0384615384615385^0,00809464508094645^0^0^1
250^Стар Альянс^0^0,0099626400996264^0^0^1
251^ТУЛЬСКИЙ ПРОМЫШЛЕННИК^0^0,0099626400996264^0^0^1
252^ЧУВАШКРЕДИТПРОМБАНК^0,0128205128205128^0,0087173100871731^0^0^1
253^АЛЕКСАНДРОВСКИЙ^0,0384615384615385^0,0074719800747198^0^0^1
254^Капиталбанк^0^0,00933997509339975^0^0^1
255^Развитие^0,0128205128205128^0,0087173100871731^0^0^1
256^Региональный банк развития^0,0128205128205128^0,0087173100871731^0^0^1
257^Аверс^0^0,0087173100871731^0^0^1
258^АККОБАНК^0^0,0087173100871731^0^0^1
259^Акцент^0,0128205128205128^0,00809464508094645^0^0^1
260^Акцепт^0,0128205128205128^0,00809464508094645^0^0^1
261^Банк Казани^0^0,0087173100871731^0^0^1
262^БУМ-БАНК^0,0256410256410256^0,0074719800747198^0^0^1
263^ЕНИСЕЙ^0,0128205128205128^0,00809464508094645^0^0^1
264^Зернобанк^0,0512820512820513^0,0062266500622665^0^0^1
265^КРАЕВОЙ КОММЕРЧЕСКИЙ СИБИРСКИЙ СОЦИАЛЬНЫЙ БАНК^0^0,0087173100871731^0^0^1
266^Межрегиональный промышленно-строительный банк^0,0128205128205128^0,00809464508094645^0^0^1
267^МЕТКОМБАНК^0,0384615384615385^0,00684931506849315^0^0^1
268^Ринвестбанк^0^0,0087173100871731^0^0^1
269^РОССИЙСКИЙ ПРОМЫШЛЕННЫЙ БАНК^0,0769230769230769^0,0049813200498132^0^0^1
270^СЛАВИЯ^0,0512820512820513^0,0062266500622665^0^0^1
271^СТРАТЕГИЯ^0,0128205128205128^0,00809464508094645^0^0^1
272^ТУСАР^0,0512820512820513^0,0062266500622665^0^0^1
273^Эксперт Банк^0,0641025641025641^0,00560398505603985^0^0^1
274^Южный региональный банк^0,0256410256410256^0,0074719800747198^0^0^1
275^Алтайкапиталбанк^0^0,00809464508094645^0^0^1
276^Банк Финсервис^0^0,00809464508094645^0^0^1
277^ГРиС-Банк^0,0128205128205128^0,0074719800747198^0^0^1
278^Земский банк^0,0128205128205128^0,0074719800747198^0^0^1
279^Инвестиционный Доверительный Европейский Акционерный Банк^0,0128205128205128^0,0074719800747198^0^0^1
280^ИШБАНК^0^0,00809464508094645^0^0^1
281^Клиентский^0,0256410256410256^0,00684931506849315^0^0^1
282^Мираф-Банк^0,0384615384615385^0,0062266500622665^0^0^1
283^Муниципальный Камчатпрофитбанк^0,0256410256410256^0,00684931506849315^0^0^1
284^НОВЫЙ ИНВЕСТИЦИОННО-КОММЕРЧЕСКИЙ ОРЕНБУРГСКИЙ БАНК РАЗВИТИЯ ПРОМЫШЛЕННОСТИ^0^0,00809464508094645^0^0^1
285^Русский Южный банк^0^0,00809464508094645^0^0^1
286^Тверьуниверсалбанк^0^0,00809464508094645^0^0^1
287^Уральский капитал^0,0128205128205128^0,0074719800747198^0^0^1
288^Эл банк^0^0,00809464508094645^0^0^1
289^Агентство расчетно-кредитная система^0^0,0074719800747198^0^0^1
290^Агро-промышленный банк Екатерининский^0,0256410256410256^0,0062266500622665^0^0^1
291^Банк Вологжанин^0^0,0074719800747198^0^0^1
292^Банк Расчетов и Сбережений^0,0384615384615385^0,00560398505603985^0^0^1
293^Банкирский Дом^0,0128205128205128^0,0062266500622665^0^0^1
294^Бенифит-банк^0^0,0074719800747198^0^0^1
295^Волго-Каспийский Акционерный Банк^0^0,0074719800747198^0^0^1
296^ГУТА-БАНК^0,115384615384615^0,00186799501867995^0^0^1
297^ИВАНОВО^0^0,0074719800747198^0^0^1
298^Инвестиционный Кооперативный Банк^0^0,0074719800747198^0^0^1
299^Инвестиционный Республиканский Банк^0,0128205128205128^0,00684931506849315^0^0^1
300^Конфидэнс Банк^0^0,0074719800747198^0^0^1
301^МАК-БАНК^0,128205128205128^0,0012453300124533^0^0^1
302^МБА-МОСКВА^0,0256410256410256^0,0062266500622665^0^0^1
303^Москоммерцбанк^0,0897435897435897^0,00311332503113325^0^0^1
304^НАЦИОНАЛЬНЫЙ ЗАЛОГОВЫЙ БАНК^0,0256410256410256^0,0062266500622665^0^0^1
305^НЕЙВА^0^0,0074719800747198^0^0^1
306^Русский ипотечный банк^0^0,0074719800747198^0^0^1
307^Томский акционерный инвестиционно-коммерческий промышленно-строительный банк^0,102564102564103^0,0024906600249066^0^0^1
308^ФИНАНСОВО-ПРОМЫШЛЕННЫЙ КАПИТАЛ^0^0,0074719800747198^0^0^1
309^Бизнес для Бизнеса^0,0128205128205128^0,00560398505603985^0^0^1
310^ВЕГА-БАНК^0^0,00684931506849315^0^0^1
311^Викинг^0^0,00684931506849315^0^0^1
312^Донской коммерческий банк^0^0,00684931506849315^0^0^1
313^Кредит Урал Банк^0^0,00684931506849315^0^0^1
314^Мегаполис^0,0128205128205128^0,0062266500622665^0^0^1
315^МЕТРОБАНК^0^0,00684931506849315^0^0^1
316^Московско-Уральский акционерный коммерческий банк^0,0384615384615385^0,0049813200498132^0^0^1
317^НЕФТЯНОЙ АЛЬЯНС^0,0128205128205128^0,0062266500622665^0^0^1
318^Новобанк^0^0,00684931506849315^0^0^1
319^Солидарность^0,0897435897435897^0,0024906600249066^0^0^1
320^Банк Агророс^0,0128205128205128^0,00560398505603985^0^0^1
321^Венец^0^0,0062266500622665^0^0^1
322^ИНТЕРКООПБАНК^0^0,0062266500622665^0^0^1
323^КАМЧАТКОМАГРОПРОМБАНК^0,0384615384615385^0,00435865504358655^0^0^1
324^КОММЕРЧЕСКИЙ ЭКСПОРТНО-ИМПОРТНЫЙ БАНК^0,0256410256410256^0,0049813200498132^0^0^1
325^Конгресс-Банк^0^0,0062266500622665^0^0^1
326^Кредит Экспресс^0,0128205128205128^0,00560398505603985^0^0^1
327^Крокус-Банк^0^0,0062266500622665^0^0^1
328^Невский народный банк^0,0256410256410256^0,0049813200498132^0^0^1
